period,quarter,source,target,value,signed,neg
2011-10-30,FY2012 Q3,Gross Profit,Operating Expenses,359627000,359627000,False
2011-10-30,FY2012 Q3,Operating Income,Net Income,178273000,178273000,False
2011-10-30,FY2012 Q3,Operating Income,Tax & Other,18817000,18817000,False
2012-01-29,FY2012 Q4,Revenue,Gross Profit,490013000,490013000,False
2012-01-29,FY2012 Q4,Revenue,Cost of Revenue,463181000,463181000,False
2012-01-29,FY2012 Q4,Gross Profit,Operating Income,122317000,122317000,False
2012-01-29,FY2012 Q4,Gross Profit,Operating Expenses,367696000,367696000,False
2012-01-29,FY2012 Q4,Operating Income,Net Income,116025000,116025000,False
2012-01-29,FY2012 Q4,Operating Income,Tax & Other,6292000,6292000,False
2012-04-29,FY2013 Q1,Revenue,Gross Profit,463364000,463364000,False
2012-04-29,FY2013 Q1,Revenue,Cost of Revenue,461513000,461513000,False
2012-04-29,FY2013 Q1,Gross Profit,Operating Income,72826000,72826000,False
2012-04-29,FY2013 Q1,Gross Profit,Operating Expenses,390538000,390538000,False
2012-04-29,FY2013 Q1,Operating Income,Net Income,60437000,60437000,False
2012-04-29,FY2013 Q1,Operating Income,Tax & Other,12389000,12389000,False
2012-07-29,FY2013 Q2,Revenue,Gross Profit,540719000,540719000,False
2012-07-29,FY2013 Q2,Revenue,Cost of Revenue,503551000,503551000,False
2012-07-29,FY2013 Q2,Gross Profit,Operating Income,139623000,139623000,False
2012-07-29,FY2013 Q2,Gross Profit,Operating Expenses,401096000,401096000,False
2012-07-29,FY2013 Q2,Operating Income,Net Income,119046000,119046000,False
2012-07-29,FY2013 Q2,Operating Income,Tax & Other,20577000,20577000,False
2012-10-28,FY2013 Q3,Revenue,Gross Profit,636658000,636658000,False
2012-10-28,FY2013 Q3,Revenue,Cost of Revenue,567452000,567452000,False
2012-10-28,FY2013 Q3,Gross Profit,Operating Income,252217000,252217000,False
2012-10-28,FY2013 Q3,Gross Profit,Operating Expenses,384441000,384441000,False
2012-10-28,FY2013 Q3,Operating Income,Net Income,209080000,209080000,False
2012-10-28,FY2013 Q3,Operating Income,Tax & Other,43137000,43137000,False
2013-01-27,FY2013 Q4,Revenue,Gross Profit,585602000,585602000,False
2013-01-27,FY2013 Q4,Revenue,Cost of Revenue,521300000,521300000,False
2013-01-27,FY2013 Q4,Gross Profit,Operating Income,183573000,183573000,False
2013-01-27,FY2013 Q4,Gross Profit,Operating Expenses,402029000,402029000,False
2013-01-27,FY2013 Q4,Operating Income,Net Income,173973000,173973000,False
2013-01-27,FY2013 Q4,Operating Income,Tax & Other,9600000,9600000,False
