period,quarter,source,target,value,signed,neg
2023-01-29,FY2023 Q4,Gross Profit,Operating Expenses,2577000000,2577000000,False
2023-01-29,FY2023 Q4,Operating Income,Net Income,1414000000,1414000000,False
2023-01-29,FY2023 Q4,Operating Income,Tax & Other,158000000,-158000000,True
2023-04-30,FY2024 Q1,Revenue,Gross Profit,4648000000,4648000000,False
2023-04-30,FY2024 Q1,Revenue,Cost of Revenue,2544000000,2544000000,False
2023-04-30,FY2024 Q1,Gross Profit,Operating Income,2140000000,2140000000,False
2023-04-30,FY2024 Q1,Gross Profit,Operating Expenses,2508000000,2508000000,False
2023-04-30,FY2024 Q1,Operating Income,Net Income,2043000000,2043000000,False
2023-04-30,FY2024 Q1,Operating Income,Tax & Other,97000000,97000000,False
2023-07-30,FY2024 Q2,Revenue,Gross Profit,9462000000,9462000000,False
2023-07-30,FY2024 Q2,Revenue,Cost of Revenue,4045000000,4045000000,False
2023-07-30,FY2024 Q2,Gross Profit,Operating Income,6800000000,6800000000,False
2023-07-30,FY2024 Q2,Gross Profit,Operating Expenses,2662000000,2662000000,False
2023-07-30,FY2024 Q2,Operating Income,Net Income,6188000000,6188000000,False
2023-07-30,FY2024 Q2,Operating Income,Tax & Other,612000000,612000000,False
2023-10-29,FY2024 Q3,Revenue,Gross Profit,13400000000,13400000000,False
2023-10-29,FY2024 Q3,Revenue,Cost of Revenue,4720000000,4720000000,False
2023-10-29,FY2024 Q3,Gross Profit,Operating Income,10417000000,10417000000,False
2023-10-29,FY2024 Q3,Gross Profit,Operating Expenses,2983000000,2983000000,False
2023-10-29,FY2024 Q3,Operating Income,Net Income,9243000000,9243000000,False
2023-10-29,FY2024 Q3,Operating Income,Tax & Other,1174000000,1174000000,False
2024-01-28,FY2024 Q4,Revenue,Gross Profit,16791000000,16791000000,False
2024-01-28,FY2024 Q4,Revenue,Cost of Revenue,5312000000,5312000000,False
2024-01-28,FY2024 Q4,Gross Profit,Operating Income,13614000000,13614000000,False
2024-01-28,FY2024 Q4,Gross Profit,Operating Expenses,3177000000,3177000000,False
2024-01-28,FY2024 Q4,Operating Income,Net Income,12285000000,12285000000,False
2024-01-28,FY2024 Q4,Operating Income,Tax & Other,1329000000,1329000000,False
2024-04-28,FY2025 Q1,Revenue,Gross Profit,20406000000,20406000000,False
2024-04-28,FY2025 Q1,Revenue,Cost of Revenue,5638000000,5638000000,False
2024-04-28,FY2025 Q1,Gross Profit,Operating Income,16909000000,16909000000,False
2024-04-28,FY2025 Q1,Gross Profit,Operating Expenses,3497000000,3497000000,False
2024-04-28,FY2025 Q1,Operating Income,Net Income,14881000000,14881000000,False
2024-04-28,FY2025 Q1,Operating Income,Tax & Other,2028000000,2028000000,False
2024-07-28,FY2025 Q2,Revenue,Gross Profit,22574000000,22574000000,False
2024-07-28,FY2025 Q2,Revenue,Cost of Revenue,7466000000,7466000000,False
2024-07-28,FY2025 Q2,Gross Profit,Operating Income,18642000000,18642000000,False
2024-07-28,FY2025 Q2,Gross Profit,Operating Expenses,3932000000,3932000000,False
2024-07-28,FY2025 Q2,Operating Income,Net Income,16599000000,16599000000,False
2024-07-28,FY2025 Q2,Operating Income,Tax & Other,2043000000,2043000000,False
2024-10-27,FY2025 Q3,Revenue,Gross Profit,26156000000,26156000000,False
2024-10-27,FY2025 Q3,Revenue,Cost of Revenue,8926000000,8926000000,False
2024-10-27,FY2025 Q3,Gross Profit,Operating Income,21869000000,21869000000,False
2024-10-27,FY2025 Q3,Gross Profit,Operating Expenses,4287000000,4287000000,False
2024-10-27,FY2025 Q3,Operating Income,Net Income,19309000000,19309000000,False
2024-10-27,FY2025 Q3,Operating Income,Tax & Other,2560000000,2560000000,False
2025-01-26,FY2025 Q4,Revenue,Gross Profit,28723000000,28723000000,False
2025-01-26,FY2025 Q4,Revenue,Cost of Revenue,10608000000,10608000000,False
2025-01-26,FY2025 Q4,Gross Profit,Operating Income,24034000000,24034000000,False
2025-01-26,FY2025 Q4,Gross Profit,Operating Expenses,4689000000,4689000000,False
2025-01-26,FY2025 Q4,Operating Income,Net Income,22091000000,22091000000,False
2025-01-26,FY2025 Q4,Operating Income,Tax & Other,1943000000,1943000000,False
2025-04-27,FY2026 Q1,Revenue,Gross Profit,26668000000,26668000000,False
2025-04-27,FY2026 Q1,Revenue,Cost of Revenue,17394000000,17394000000,False
2025-04-27,FY2026 Q1,Gross Profit,Operating Income,21638000000,21638000000,False
2025-04-27,FY2026 Q1,Gross Profit,Operating Expenses,5030000000,5030000000,False
2025-04-27,FY2026 Q1,Operating Income,Net Income,18775000000,18775000000,False
2025-04-27,FY2026 Q1,Operating Income,Tax & Other,2863000000,2863000000,False
2025-07-27,FY2026 Q2,Revenue,Gross Profit,33853000000,33853000000,False
2025-07-27,FY2026 Q2,Revenue,Cost of Revenue,12890000000,12890000000,False
2025-07-27,FY2026 Q2,Gross Profit,Operating Income,28440000000,28440000000,False
2025-07-27,FY2026 Q2,Gross Profit,Operating Expenses,5413000000,5413000000,False
2025-07-27,FY2026 Q2,Operating Income,Net Income,26422000000,26422000000,False
2025-07-27,FY2026 Q2,Operating Income,Tax & Other,2018000000,2018000000,False
2025-10-26,FY2026 Q3,Revenue,Gross Profit,41849000000,41849000000,False
2025-10-26,FY2026 Q3,Revenue,Cost of Revenue,15157000000,15157000000,False
2025-10-26,FY2026 Q3,Gross Profit,Operating Income,36010000000,36010000000,False
2025-10-26,FY2026 Q3,Gross Profit,Operating Expenses,5839000000,5839000000,False
2025-10-26,FY2026 Q3,Operating Income,Net Income,31910000000,31910000000,False
2025-10-26,FY2026 Q3,Operating Income,Tax & Other,4100000000,4100000000,False
2026-01-25,FY2026 Q4,Revenue,Gross Profit,51093000000,51093000000,False
2026-01-25,FY2026 Q4,Revenue,Cost of Revenue,17034000000,17034000000,False
2026-01-25,FY2026 Q4,Gross Profit,Operating Income,44299000000,44299000000,False
2026-01-25,FY2026 Q4,Gross Profit,Operating Expenses,6794000000,6794000000,False
2026-01-25,FY2026 Q4,Operating Income,Net Income,42960000000,42960000000,False
2026-01-25,FY2026 Q4,Operating Income,Tax & Other,1339000000,1339000000,False
2026-04-26,FY2027 Q1,Revenue,Gross Profit,61157000000,61157000000,False
2026-04-26,FY2027 Q1,Revenue,Cost of Revenue,20458000000,20458000000,False
2026-04-26,FY2027 Q1,Gross Profit,Operating Income,53536000000,53536000000,False
2026-04-26,FY2027 Q1,Gross Profit,Operating Expenses,7621000000,7621000000,False
2026-04-26,FY2027 Q1,Operating Income,Net Income,58321000000,58321000000,False
2026-04-26,FY2027 Q1,Operating Income,Tax & Other,4785000000,-4785000000,True
